index,program,pred_y_hat,pred_side,true_y,true_side,error,direction_correct,verdict
1,7zip,1.0001343488693237,v1,1.0,v1,0.00013434886932373047,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
2,ASCI_Purple_SMG2000,1.0002530813217163,v1,1.0,v1,0.0002530813217163086,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
3,ASC_Sequoia_AMGmk,1.000056266784668,v1,1.0,v1,5.626678466796875e-05,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
4,ASC_Sequoia_CrystalMk,1.0011416673660278,v1,1.0,v1,0.001141667366027832,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
5,ASC_Sequoia_IRSmk,1.0003397464752197,v1,1.0,v1,0.00033974647521972656,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
6,BitBench_drop3,0.9982963800430298,v2,1.0493826866149902,v1,-0.05108630657196045,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
7,BitBench_five11,0.9996948838233948,v2,0.949999988079071,v2,0.04969489574432373,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
8,BitBench_uudecode,0.9999176859855652,v2,0.9985875487327576,v2,0.0013301372528076172,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
9,BitBench_uuencode,0.9999875426292419,v2,0.9997146725654602,v2,0.0002728700637817383,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
10,Bullet,1.001287817955017,v1,1.0,v1,0.0012878179550170898,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
11,DOE-ProxyApps-C++_CLAMR,0.9998269081115723,v2,1.0,v1,-0.00017309188842773438,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
12,DOE-ProxyApps-C++_HACCKernels,0.9998871088027954,v2,1.0,v1,-0.00011289119720458984,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
13,DOE-ProxyApps-C++_HPCCG,0.9999195337295532,v2,1.0,v1,-8.046627044677734e-05,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
14,DOE-ProxyApps-C++_PENNANT,1.000003695487976,v1,1.0,v1,3.6954879760742188e-06,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
15,DOE-ProxyApps-C++_miniFE,1.0003045797348022,v1,1.0,v1,0.0003045797348022461,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
16,DOE-ProxyApps-C_CoMD,1.0013641119003296,v1,0.9599999785423279,v2,0.04136413335800171,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
17,DOE-ProxyApps-C_Pathfinder,1.0193500518798828,v1,1.0666667222976685,v1,-0.047316670417785645,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
18,DOE-ProxyApps-C_RSBench,0.9999642968177795,v2,0.9851852059364319,v2,0.014779090881347656,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
19,DOE-ProxyApps-C_SimpleMOC,0.9999846816062927,v2,1.0,v1,-1.531839370727539e-05,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
20,DOE-ProxyApps-C_XSBench,0.9997742772102356,v2,0.9375,v2,0.062274277210235596,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
21,DOE-ProxyApps-C_miniAMR,0.9999940395355225,v2,1.0,v1,-5.9604644775390625e-06,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
