index,program,pred_y_hat,pred_side,true_y,true_side,error,direction_correct,verdict
1,7zip,0.9976128935813904,v2,1.0,v1,-0.002387106418609619,False,O1-g ≈ O3-g（差异在 ±5% 内）
2,ASCI_Purple_SMG2000,0.8788014054298401,v2,0.875,v2,0.003801405429840088,True,O3-g 优于 O1-g（快 12.1%，加速比 1.14x）
3,ASC_Sequoia_AMGmk,0.9364392757415771,v2,0.6666666865348816,v2,0.26977258920669556,True,O3-g 优于 O1-g（快 6.4%，加速比 1.07x）
4,ASC_Sequoia_CrystalMk,0.949089527130127,v2,0.9285714030265808,v2,0.020518124103546143,True,O3-g 优于 O1-g（快 5.1%，加速比 1.05x）
5,ASC_Sequoia_IRSmk,0.665050745010376,v2,0.6666666865348816,v2,-0.0016159415245056152,True,O3-g 优于 O1-g（快 33.5%，加速比 1.50x）
6,BitBench_drop3,0.9990576505661011,v2,0.9941176176071167,v2,0.004940032958984375,True,O1-g ≈ O3-g（差异在 ±5% 内）
7,BitBench_five11,1.0391850471496582,v1,1.0526316165924072,v1,-0.013446569442749023,True,O1-g ≈ O3-g（差异在 ±5% 内）
8,BitBench_uudecode,0.26492375135421753,v2,0.2874704599380493,v2,-0.022546708583831787,True,O3-g 优于 O1-g（快 73.5%，加速比 3.77x）
9,BitBench_uuencode,0.9660862684249878,v2,0.9551020264625549,v2,0.010984241962432861,True,O1-g ≈ O3-g（差异在 ±5% 内）
10,Bullet,0.9263687133789062,v2,0.9090909361839294,v2,0.017277777194976807,True,O3-g 优于 O1-g（快 7.4%，加速比 1.08x）
11,DOE-ProxyApps-C++_CLAMR,1.0384846925735474,v1,1.0322580337524414,v1,0.006226658821105957,True,O1-g ≈ O3-g（差异在 ±5% 内）
12,DOE-ProxyApps-C++_HACCKernels,0.968726634979248,v2,0.9523809552192688,v2,0.016345679759979248,True,O1-g ≈ O3-g（差异在 ±5% 内）
13,DOE-ProxyApps-C++_HPCCG,0.9983494877815247,v2,1.0,v1,-0.0016505122184753418,False,O1-g ≈ O3-g（差异在 ±5% 内）
