index,program,pred_y_hat,pred_side,true_y,true_side,error,direction_correct,verdict
1,7zip,1.0049911737442017,v1,1.0,v1,0.00499117374420166,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
2,ASCI_Purple_SMG2000,1.0003151893615723,v1,1.0,v1,0.0003151893615722656,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
3,ASC_Sequoia_AMGmk,0.9998214244842529,v2,1.0,v1,-0.0001785755157470703,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
4,ASC_Sequoia_CrystalMk,1.000566005706787,v1,1.0,v1,0.0005660057067871094,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
5,ASC_Sequoia_IRSmk,1.0000028610229492,v1,1.0,v1,2.86102294921875e-06,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
6,BitBench_drop3,1.0667191743850708,v1,1.0493826866149902,v1,0.017336487770080566,True,O2-bolt 优于 O2-bolt-opt（快 6.3%，加速比 1.07x）
7,BitBench_five11,0.9651593565940857,v2,0.949999988079071,v2,0.015159368515014648,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
8,BitBench_uudecode,0.9997921586036682,v2,0.9985875487327576,v2,0.0012046098709106445,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
9,BitBench_uuencode,1.0001386404037476,v1,0.9997146725654602,v2,0.0004239678382873535,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
10,Bullet,0.9974509477615356,v2,1.0,v1,-0.0025490522384643555,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
11,DOE-ProxyApps-C++_CLAMR,0.9791243672370911,v2,1.0,v1,-0.020875632762908936,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
12,DOE-ProxyApps-C++_HACCKernels,0.9989891648292542,v2,1.0,v1,-0.0010108351707458496,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
13,DOE-ProxyApps-C++_HPCCG,0.9995274543762207,v2,1.0,v1,-0.0004725456237792969,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
14,DOE-ProxyApps-C++_PENNANT,1.0000618696212769,v1,1.0,v1,6.186962127685547e-05,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
15,DOE-ProxyApps-C++_miniFE,0.9997600317001343,v2,1.0,v1,-0.00023996829986572266,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
16,DOE-ProxyApps-C_CoMD,0.9406712651252747,v2,0.9599999785423279,v2,-0.019328713417053223,True,O2-bolt-opt 优于 O2-bolt（快 5.9%，加速比 1.06x）
17,DOE-ProxyApps-C_Pathfinder,1.0549838542938232,v1,1.0666667222976685,v1,-0.011682868003845215,True,O2-bolt 优于 O2-bolt-opt（快 5.2%，加速比 1.05x）
