index,program,pred_y_hat,pred_side,true_y,true_side,error,direction_correct,verdict
1,7zip,0.9497848749160767,v2,1.0157835483551025,v1,-0.06599867343902588,False,O3-bolt-opt 优于 O3-bolt（快 5.0%，加速比 1.05x）
2,ASCI_Purple_SMG2000,1.0044877529144287,v1,1.0114600658416748,v1,-0.006972312927246094,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
3,ASC_Sequoia_AMGmk,1.0044761896133423,v1,1.006349802017212,v1,-0.001873612403869629,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
4,ASC_Sequoia_CrystalMk,1.015154242515564,v1,0.9997877478599548,v2,0.01536649465560913,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
5,ASC_Sequoia_IRSmk,1.0015299320220947,v1,1.0053925514221191,v1,-0.003862619400024414,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
6,BitBench_drop3,0.9835858941078186,v2,0.9270982146263123,v2,0.05648767948150635,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
7,BitBench_five11,0.9580374956130981,v2,0.9801690578460693,v2,-0.02213156223297119,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
8,BitBench_uudecode,0.9866392612457275,v2,1.7161900997161865,v1,-0.729550838470459,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
9,BitBench_uuencode,1.0127848386764526,v1,1.0126783847808838,v1,0.00010645389556884766,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
10,Bullet,0.9763294458389282,v2,1.0059919357299805,v1,-0.029662489891052246,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
11,DOE-ProxyApps-C++_CLAMR,1.2362817525863647,v1,1.0135669708251953,v1,0.22271478176116943,True,O3-bolt 优于 O3-bolt-opt（快 19.1%，加速比 1.24x）
12,DOE-ProxyApps-C++_HACCKernels,0.9973140358924866,v2,1.0079073905944824,v1,-0.01059335470199585,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
13,DOE-ProxyApps-C++_HPCCG,1.012068748474121,v1,1.0108022689819336,v1,0.0012664794921875,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
14,DOE-ProxyApps-C++_PENNANT,1.0112459659576416,v1,1.0110007524490356,v1,0.00024521350860595703,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
15,DOE-ProxyApps-C++_miniFE,1.0085198879241943,v1,1.0253843069076538,v1,-0.016864418983459473,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
16,DOE-ProxyApps-C_CoMD,0.9278587102890015,v2,0.937041163444519,v2,-0.009182453155517578,True,O3-bolt-opt 优于 O3-bolt（快 7.2%，加速比 1.08x）
