index,program,pred_y_hat,pred_side,true_y,true_side,error,direction_correct,verdict
1,7zip,0.9998555779457092,v2,1.0,v1,-0.00014442205429077148,False,O1-g ≈ O3-g（差异在 ±5% 内）
2,ASCI_Purple_SMG2000,0.9980557560920715,v2,0.875,v2,0.12305575609207153,True,O1-g ≈ O3-g（差异在 ±5% 内）
3,ASC_Sequoia_AMGmk,0.9966973066329956,v2,0.6666666865348816,v2,0.330030620098114,True,O1-g ≈ O3-g（差异在 ±5% 内）
4,ASC_Sequoia_CrystalMk,0.9980907440185547,v2,0.9285714030265808,v2,0.06951934099197388,True,O1-g ≈ O3-g（差异在 ±5% 内）
5,ASC_Sequoia_IRSmk,1.0000265836715698,v1,0.6666666865348816,v2,0.33335989713668823,False,O1-g ≈ O3-g（差异在 ±5% 内）
6,BitBench_drop3,1.0003873109817505,v1,0.9941176176071167,v2,0.006269693374633789,False,O1-g ≈ O3-g（差异在 ±5% 内）
7,BitBench_five11,1.000170111656189,v1,1.0526316165924072,v1,-0.05246150493621826,True,O1-g ≈ O3-g（差异在 ±5% 内）
8,BitBench_uudecode,1.0029319524765015,v1,0.2874704599380493,v2,0.7154614925384521,False,O1-g ≈ O3-g（差异在 ±5% 内）
9,BitBench_uuencode,0.9992698431015015,v2,0.9551020264625549,v2,0.04416781663894653,True,O1-g ≈ O3-g（差异在 ±5% 内）
10,Bullet,1.0002702474594116,v1,0.9090909361839294,v2,0.09117931127548218,False,O1-g ≈ O3-g（差异在 ±5% 内）
11,DOE-ProxyApps-C++_CLAMR,1.000258207321167,v1,1.0322580337524414,v1,-0.031999826431274414,True,O1-g ≈ O3-g（差异在 ±5% 内）
12,DOE-ProxyApps-C++_HACCKernels,0.9963056445121765,v2,0.9523809552192688,v2,0.043924689292907715,True,O1-g ≈ O3-g（差异在 ±5% 内）
13,DOE-ProxyApps-C++_HPCCG,0.9973949790000916,v2,1.0,v1,-0.0026050209999084473,False,O1-g ≈ O3-g（差异在 ±5% 内）
14,DOE-ProxyApps-C++_PENNANT,1.000314712524414,v1,0.8928571343421936,v2,0.10745757818222046,False,O1-g ≈ O3-g（差异在 ±5% 内）
15,DOE-ProxyApps-C++_miniFE,0.9980651140213013,v2,0.9166666865348816,v2,0.08139842748641968,True,O1-g ≈ O3-g（差异在 ±5% 内）
16,DOE-ProxyApps-C_CoMD,0.9983494281768799,v2,0.95652174949646,v2,0.04182767868041992,True,O1-g ≈ O3-g（差异在 ±5% 内）
17,DOE-ProxyApps-C_Pathfinder,1.0001976490020752,v1,1.0,v1,0.0001976490020751953,True,O1-g ≈ O3-g（差异在 ±5% 内）
