index,program,pred_y_hat,pred_side,true_y,true_side,error,direction_correct,verdict
1,7zip,1.0016480684280396,v1,1.0,v1,0.0016480684280395508,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
2,ASCI_Purple_SMG2000,1.0016717910766602,v1,1.0,v1,0.0016717910766601562,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
3,ASC_Sequoia_AMGmk,1.0001893043518066,v1,1.0,v1,0.00018930435180664062,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
4,ASC_Sequoia_CrystalMk,1.0008879899978638,v1,1.0,v1,0.0008879899978637695,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
5,ASC_Sequoia_IRSmk,1.0001757144927979,v1,1.0,v1,0.00017571449279785156,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
6,BitBench_drop3,0.9994504451751709,v2,1.0493826866149902,v1,-0.049932241439819336,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
7,BitBench_five11,1.0000122785568237,v1,0.949999988079071,v2,0.050012290477752686,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
8,BitBench_uudecode,1.000079870223999,v1,0.9985875487327576,v2,0.001492321491241455,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
9,BitBench_uuencode,1.0004425048828125,v1,0.9997146725654602,v2,0.0007278323173522949,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
10,Bullet,1.0029268264770508,v1,1.0,v1,0.0029268264770507812,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
11,DOE-ProxyApps-C++_CLAMR,0.9951094388961792,v2,1.0,v1,-0.004890561103820801,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
12,DOE-ProxyApps-C++_HACCKernels,1.0002567768096924,v1,1.0,v1,0.0002567768096923828,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
13,DOE-ProxyApps-C++_HPCCG,0.9997169971466064,v2,1.0,v1,-0.0002830028533935547,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
