index,program,pred_y_hat,pred_side,true_y,true_side,error,direction_correct,verdict
1,7zip,1.0006738901138306,v1,1.0,v1,0.0006738901138305664,True,O1-g ≈ O3-g（差异在 ±5% 内）
2,ASCI_Purple_SMG2000,0.998347282409668,v2,0.875,v2,0.12334728240966797,True,O1-g ≈ O3-g（差异在 ±5% 内）
3,ASC_Sequoia_AMGmk,0.9974659085273743,v2,0.6666666865348816,v2,0.3307992219924927,True,O1-g ≈ O3-g（差异在 ±5% 内）
4,ASC_Sequoia_CrystalMk,0.9984545707702637,v2,0.9285714030265808,v2,0.06988316774368286,True,O1-g ≈ O3-g（差异在 ±5% 内）
5,ASC_Sequoia_IRSmk,1.0005693435668945,v1,0.6666666865348816,v2,0.33390265703201294,False,O1-g ≈ O3-g（差异在 ±5% 内）
6,BitBench_drop3,1.0015969276428223,v1,0.9941176176071167,v2,0.007479310035705566,False,O1-g ≈ O3-g（差异在 ±5% 内）
7,BitBench_five11,1.0013344287872314,v1,1.0526316165924072,v1,-0.05129718780517578,True,O1-g ≈ O3-g（差异在 ±5% 内）
8,BitBench_uudecode,1.0026332139968872,v1,0.2874704599380493,v2,0.7151627540588379,False,O1-g ≈ O3-g（差异在 ±5% 内）
9,BitBench_uuencode,0.9999691843986511,v2,0.9551020264625549,v2,0.04486715793609619,True,O1-g ≈ O3-g（差异在 ±5% 内）
10,Bullet,1.0012367963790894,v1,0.9090909361839294,v2,0.09214586019515991,False,O1-g ≈ O3-g（差异在 ±5% 内）
11,DOE-ProxyApps-C++_CLAMR,1.0012648105621338,v1,1.0322580337524414,v1,-0.030993223190307617,True,O1-g ≈ O3-g（差异在 ±5% 内）
12,DOE-ProxyApps-C++_HACCKernels,0.9960812330245972,v2,0.9523809552192688,v2,0.04370027780532837,True,O1-g ≈ O3-g（差异在 ±5% 内）
13,DOE-ProxyApps-C++_HPCCG,0.9976116418838501,v2,1.0,v1,-0.0023883581161499023,False,O1-g ≈ O3-g（差异在 ±5% 内）
14,DOE-ProxyApps-C++_PENNANT,1.0012694597244263,v1,0.8928571343421936,v2,0.10841232538223267,False,O1-g ≈ O3-g（差异在 ±5% 内）
15,DOE-ProxyApps-C++_miniFE,0.9984499216079712,v2,0.9166666865348816,v2,0.0817832350730896,True,O1-g ≈ O3-g（差异在 ±5% 内）
16,DOE-ProxyApps-C_CoMD,0.9986719489097595,v2,0.95652174949646,v2,0.04215019941329956,True,O1-g ≈ O3-g（差异在 ±5% 内）
17,DOE-ProxyApps-C_Pathfinder,1.0012608766555786,v1,1.0,v1,0.0012608766555786133,True,O1-g ≈ O3-g（差异在 ±5% 内）
18,DOE-ProxyApps-C_RSBench,0.9993900060653687,v2,0.9924812316894531,v2,0.006908774375915527,True,O1-g ≈ O3-g（差异在 ±5% 内）
19,DOE-ProxyApps-C_SimpleMOC,0.9983539581298828,v2,0.78125,v2,0.2171039581298828,True,O1-g ≈ O3-g（差异在 ±5% 内）
20,DOE-ProxyApps-C_XSBench,1.0000414848327637,v1,0.9333333373069763,v2,0.06670814752578735,False,O1-g ≈ O3-g（差异在 ±5% 内）
21,DOE-ProxyApps-C_miniAMR,1.0000725984573364,v1,0.9137930870056152,v2,0.08627951145172119,False,O1-g ≈ O3-g（差异在 ±5% 内）
22,DOE-ProxyApps-C_miniGMG,1.0000407695770264,v1,0.9047619104385376,v2,0.09527885913848877,False,O1-g ≈ O3-g（差异在 ±5% 内）
23,Fhourstones,0.9994810223579407,v2,0.9454545378684998,v2,0.05402648448944092,True,O1-g ≈ O3-g（差异在 ±5% 内）
24,Fhourstones-3.1,1.0010874271392822,v1,1.0,v1,0.0010874271392822266,True,O1-g ≈ O3-g（差异在 ±5% 内）
25,FreeBench_analyzer,1.0008692741394043,v1,0.9750311970710754,v2,0.025838077068328857,False,O1-g ≈ O3-g（差异在 ±5% 内）
26,FreeBench_distray,0.9999707937240601,v2,0.9387755393981934,v2,0.0611952543258667,True,O1-g ≈ O3-g（差异在 ±5% 内）
27,FreeBench_fourinarow,0.9881966710090637,v2,1.2857142686843872,v1,-0.2975175976753235,False,O1-g ≈ O3-g（差异在 ±5% 内）
28,FreeBench_mason,1.0010117292404175,v1,1.081712007522583,v1,-0.08070027828216553,True,O1-g ≈ O3-g（差异在 ±5% 内）
29,FreeBench_neural,0.9980977177619934,v2,1.0026881694793701,v1,-0.004590451717376709,False,O1-g ≈ O3-g（差异在 ±5% 内）
30,FreeBench_pcompress2,1.0009905099868774,v1,0.9608433842658997,v2,0.04014712572097778,False,O1-g ≈ O3-g（差异在 ±5% 内）
31,FreeBench_pifft,1.0012456178665161,v1,0.9230769276618958,v2,0.07816869020462036,False,O1-g ≈ O3-g（差异在 ±5% 内）
32,MallocBench_cfrac,1.0006154775619507,v1,0.9811320900917053,v2,0.01948338747024536,False,O1-g ≈ O3-g（差异在 ±5% 内）
33,MallocBench_espresso,1.0012203454971313,v1,0.9739130139350891,v2,0.027307331562042236,False,O1-g ≈ O3-g（差异在 ±5% 内）
34,MallocBench_gs,1.0008846521377563,v1,1.1540676355361938,v1,-0.1531829833984375,True,O1-g ≈ O3-g（差异在 ±5% 内）
35,McCat_01-qbsort,1.0013691186904907,v1,1.0324574708938599,v1,-0.03108835220336914,True,O1-g ≈ O3-g（差异在 ±5% 内）
36,McCat_03-testtrie,1.001313328742981,v1,0.9913793206214905,v2,0.009934008121490479,False,O1-g ≈ O3-g（差异在 ±5% 内）
37,McCat_04-bisect,1.0008583068847656,v1,0.915869951248169,v2,0.08498835563659668,False,O1-g ≈ O3-g（差异在 ±5% 内）
38,McCat_08-main,1.0015047788619995,v1,1.01509428024292,v1,-0.01358950138092041,True,O1-g ≈ O3-g（差异在 ±5% 内）
39,McCat_09-vor,1.0016001462936401,v1,0.9894737005233765,v2,0.012126445770263672,False,O1-g ≈ O3-g（差异在 ±5% 内）
40,McCat_12-IOtest,1.0011485815048218,v1,1.0068026781082153,v1,-0.005654096603393555,True,O1-g ≈ O3-g（差异在 ±5% 内）
41,McCat_15-trie,1.0013337135314941,v1,1.0027447938919067,v1,-0.0014110803604125977,True,O1-g ≈ O3-g（差异在 ±5% 内）
42,McCat_17-bintr,1.0040621757507324,v1,1.0,v1,0.004062175750732422,True,O1-g ≈ O3-g（差异在 ±5% 内）
43,McCat_18-imp,1.0008108615875244,v1,0.9877095222473145,v2,0.013101339340209961,False,O1-g ≈ O3-g（差异在 ±5% 内）
44,MiBench_automotive-basicmath,1.0011173486709595,v1,1.0,v1,0.0011173486709594727,True,O1-g ≈ O3-g（差异在 ±5% 内）
45,MiBench_automotive-bitcount,1.0007280111312866,v1,0.9595015645027161,v2,0.04122644662857056,False,O1-g ≈ O3-g（差异在 ±5% 内）
46,MiBench_automotive-susan,1.0001742839813232,v1,0.995555579662323,v2,0.004618704319000244,False,O1-g ≈ O3-g（差异在 ±5% 内）
47,MiBench_consumer-jpeg,1.0011215209960938,v1,0.8711234331130981,v2,0.1299980878829956,False,O1-g ≈ O3-g（差异在 ±5% 内）
48,MiBench_consumer-lame,0.9985635876655579,v2,0.8993902206420898,v2,0.09917336702346802,True,O1-g ≈ O3-g（差异在 ±5% 内）
