index,program,pred_y_hat,pred_side,true_y,true_side,error,direction_correct,verdict
1,7zip,1.004634141921997,v1,1.0,v1,0.00463414192199707,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
2,ASCI_Purple_SMG2000,1.003422498703003,v1,1.0,v1,0.0034224987030029297,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
3,ASC_Sequoia_AMGmk,1.00127375125885,v1,1.0,v1,0.0012737512588500977,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
4,ASC_Sequoia_CrystalMk,1.0022501945495605,v1,1.0,v1,0.002250194549560547,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
5,ASC_Sequoia_IRSmk,1.0011706352233887,v1,1.0,v1,0.0011706352233886719,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
6,BitBench_drop3,1.0001152753829956,v1,0.9340659379959106,v2,0.06604933738708496,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
7,BitBench_five11,1.0011284351348877,v1,0.949999988079071,v2,0.05112844705581665,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
8,BitBench_uudecode,1.0032182931900024,v1,1.7185726165771484,v1,-0.715354323387146,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
9,BitBench_uuencode,1.0009756088256836,v1,1.0051546096801758,v1,-0.0041790008544921875,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
10,Bullet,1.0041037797927856,v1,1.0,v1,0.0041037797927856445,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
11,DOE-ProxyApps-C++_CLAMR,0.9946333169937134,v2,1.0,v1,-0.005366683006286621,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
12,DOE-ProxyApps-C++_HACCKernels,1.0015894174575806,v1,1.0,v1,0.0015894174575805664,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
