index,program,pred_y_hat,pred_side,true_y,true_side,error,direction_correct,verdict
1,7zip,1.0123802423477173,v1,1.0157835483551025,v1,-0.003403306007385254,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
2,ASCI_Purple_SMG2000,1.0192439556121826,v1,1.0114600658416748,v1,0.0077838897705078125,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
3,ASC_Sequoia_AMGmk,1.0125563144683838,v1,1.006349802017212,v1,0.006206512451171875,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
4,ASC_Sequoia_CrystalMk,1.0379254817962646,v1,0.9997877478599548,v2,0.038137733936309814,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
5,ASC_Sequoia_IRSmk,1.0083354711532593,v1,1.0053925514221191,v1,0.0029429197311401367,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
6,BitBench_drop3,1.0216035842895508,v1,0.9270982146263123,v2,0.09450536966323853,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
7,BitBench_five11,1.011468768119812,v1,0.9801690578460693,v2,0.031299710273742676,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
8,BitBench_uudecode,1.0119167566299438,v1,1.7161900997161865,v1,-0.7042733430862427,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
9,BitBench_uuencode,1.0131077766418457,v1,1.0126783847808838,v1,0.00042939186096191406,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
10,Bullet,0.9952001571655273,v2,1.0059919357299805,v1,-0.010791778564453125,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
11,DOE-ProxyApps-C++_CLAMR,1.0427846908569336,v1,1.0135669708251953,v1,0.02921772003173828,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
12,DOE-ProxyApps-C++_HACCKernels,1.0002497434616089,v1,1.0079073905944824,v1,-0.007657647132873535,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
13,DOE-ProxyApps-C++_HPCCG,0.982573390007019,v2,1.0108022689819336,v1,-0.02822887897491455,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
14,DOE-ProxyApps-C++_PENNANT,1.010603427886963,v1,1.0110007524490356,v1,-0.0003973245620727539,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
15,DOE-ProxyApps-C++_miniFE,1.0161755084991455,v1,1.0253843069076538,v1,-0.0092087984085083,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
16,DOE-ProxyApps-C_CoMD,1.0622621774673462,v1,0.937041163444519,v2,0.12522101402282715,False,O3-bolt 优于 O3-bolt-opt（快 5.9%，加速比 1.06x）
17,DOE-ProxyApps-C_Pathfinder,0.9873985648155212,v2,1.0436979532241821,v1,-0.05629938840866089,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
18,DOE-ProxyApps-C_RSBench,0.9974047541618347,v2,1.010333776473999,v1,-0.012929022312164307,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
19,DOE-ProxyApps-C_SimpleMOC,1.1740659475326538,v1,1.0159350633621216,v1,0.15813088417053223,True,O3-bolt 优于 O3-bolt-opt（快 14.8%，加速比 1.17x）
20,DOE-ProxyApps-C_XSBench,0.9711034297943115,v2,0.9845479726791382,v2,-0.01344454288482666,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
21,DOE-ProxyApps-C_miniAMR,0.9964480996131897,v2,1.0054104328155518,v1,-0.00896233320236206,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
22,DOE-ProxyApps-C_miniGMG,1.0074496269226074,v1,1.002714991569519,v1,0.004734635353088379,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
23,Fhourstones,0.9933693408966064,v2,1.0216543674468994,v1,-0.02828502655029297,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
24,Fhourstones-3.1,1.0681724548339844,v1,1.0852411985397339,v1,-0.01706874370574951,True,O3-bolt 优于 O3-bolt-opt（快 6.4%，加速比 1.07x）
25,FreeBench_analyzer,1.0136034488677979,v1,0.9951690435409546,v2,0.01843440532684326,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
26,FreeBench_distray,1.014532446861267,v1,1.0047836303710938,v1,0.00974881649017334,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
27,FreeBench_fourinarow,0.9994503855705261,v2,1.0070791244506836,v1,-0.007628738880157471,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
28,FreeBench_mason,0.9893717765808105,v2,0.9817343950271606,v2,0.007637381553649902,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
29,FreeBench_neural,0.9955307245254517,v2,1.014822006225586,v1,-0.019291281700134277,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
30,FreeBench_pcompress2,1.0394848585128784,v1,1.0279335975646973,v1,0.011551260948181152,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
31,FreeBench_pifft,1.001349925994873,v1,1.0133488178253174,v1,-0.011998891830444336,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
32,MallocBench_cfrac,1.0027976036071777,v1,1.0083770751953125,v1,-0.005579471588134766,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
33,MallocBench_espresso,1.007962942123413,v1,1.0373369455337524,v1,-0.029374003410339355,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
34,MallocBench_gs,0.9944884777069092,v2,0.9717147350311279,v2,0.02277374267578125,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
35,McCat_01-qbsort,1.0099570751190186,v1,0.9815614819526672,v2,0.02839559316635132,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
36,McCat_03-testtrie,0.9876412749290466,v2,0.9551055431365967,v2,0.03253573179244995,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
37,McCat_04-bisect,1.015254259109497,v1,1.1021546125411987,v1,-0.08690035343170166,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
38,McCat_05-eks,0.9766823053359985,v2,1.0056531429290771,v1,-0.028970837593078613,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
39,McCat_08-main,0.9951624274253845,v2,0.9987426996231079,v2,-0.0035802721977233887,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
40,McCat_09-vor,1.0161397457122803,v1,1.0124015808105469,v1,0.0037381649017333984,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
41,McCat_12-IOtest,1.0155694484710693,v1,0.9938451051712036,v2,0.021724343299865723,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
42,McCat_15-trie,0.9997602105140686,v2,1.0062103271484375,v1,-0.0064501166343688965,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
43,McCat_17-bintr,1.0210069417953491,v1,1.026015281677246,v1,-0.005008339881896973,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
44,McCat_18-imp,1.0168203115463257,v1,1.1087042093276978,v1,-0.09188389778137207,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
45,MiBench_automotive-basicmath,1.016266942024231,v1,1.0003862380981445,v1,0.015880703926086426,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
46,MiBench_automotive-bitcount,1.0137799978256226,v1,0.9694525599479675,v2,0.04432743787765503,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
47,MiBench_automotive-susan,1.021445631980896,v1,0.9952948093414307,v2,0.026150822639465332,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
48,MiBench_consumer-jpeg,1.009703516960144,v1,0.9914142489433289,v2,0.018289268016815186,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
49,MiBench_consumer-lame,0.9816651344299316,v2,0.9948038458824158,v2,-0.01313871145248413,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
50,MiBench_consumer-typeset,0.9952002763748169,v2,0.9782459735870361,v2,0.01695430278778076,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
51,MiBench_network-dijkstra,1.0249645709991455,v1,0.885871410369873,v2,0.13909316062927246,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
52,MiBench_network-patricia,1.0098028182983398,v1,0.9954434633255005,v2,0.014359354972839355,False,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
53,MiBench_office-ispell,0.9959619045257568,v2,0.9936730861663818,v2,0.002288818359375,True,O3-bolt ≈ O3-bolt-opt（差异在 ±5% 内）
