index,program,pred_y_hat,pred_side,true_y,true_side,error,direction_correct,verdict
1,7zip,0.9934177398681641,v2,1.0,v1,-0.0065822601318359375,False,O1-g ≈ O3-g（差异在 ±5% 内）
2,ASCI_Purple_SMG2000,0.921909749507904,v2,0.875,v2,0.04690974950790405,True,O3-g 优于 O1-g（快 7.8%，加速比 1.08x）
3,ASC_Sequoia_AMGmk,0.7133281230926514,v2,0.6666666865348816,v2,0.046661436557769775,True,O3-g 优于 O1-g（快 28.7%，加速比 1.40x）
4,ASC_Sequoia_CrystalMk,0.8718281984329224,v2,0.9285714030265808,v2,-0.05674320459365845,True,O3-g 优于 O1-g（快 12.8%，加速比 1.15x）
5,ASC_Sequoia_IRSmk,0.9653660655021667,v2,0.6666666865348816,v2,0.29869937896728516,True,O1-g ≈ O3-g（差异在 ±5% 内）
6,BitBench_drop3,1.015759825706482,v1,0.9941176176071167,v2,0.021642208099365234,False,O1-g ≈ O3-g（差异在 ±5% 内）
7,BitBench_five11,1.004561424255371,v1,1.0526316165924072,v1,-0.04807019233703613,True,O1-g ≈ O3-g（差异在 ±5% 内）
8,BitBench_uudecode,0.7751083374023438,v2,0.2874704599380493,v2,0.48763787746429443,True,O3-g 优于 O1-g（快 22.5%，加速比 1.29x）
9,BitBench_uuencode,1.0043448209762573,v1,0.9551020264625549,v2,0.04924279451370239,False,O1-g ≈ O3-g（差异在 ±5% 内）
10,Bullet,1.003066062927246,v1,0.9090909361839294,v2,0.09397512674331665,False,O1-g ≈ O3-g（差异在 ±5% 内）
11,DOE-ProxyApps-C++_CLAMR,0.993278443813324,v2,1.0322580337524414,v1,-0.03897958993911743,False,O1-g ≈ O3-g（差异在 ±5% 内）
12,DOE-ProxyApps-C++_HACCKernels,0.8237978219985962,v2,0.9523809552192688,v2,-0.1285831332206726,True,O3-g 优于 O1-g（快 17.6%，加速比 1.21x）
13,DOE-ProxyApps-C++_HPCCG,0.849388599395752,v2,1.0,v1,-0.15061140060424805,False,O3-g 优于 O1-g（快 15.1%，加速比 1.18x）
14,DOE-ProxyApps-C++_PENNANT,0.9999402165412903,v2,0.8928571343421936,v2,0.10708308219909668,True,O1-g ≈ O3-g（差异在 ±5% 内）
15,DOE-ProxyApps-C++_miniFE,0.8859883546829224,v2,0.9166666865348816,v2,-0.03067833185195923,True,O3-g 优于 O1-g（快 11.4%，加速比 1.13x）
16,DOE-ProxyApps-C_CoMD,0.9813530445098877,v2,0.95652174949646,v2,0.024831295013427734,True,O1-g ≈ O3-g（差异在 ±5% 内）
17,DOE-ProxyApps-C_Pathfinder,0.9901559948921204,v2,1.0,v1,-0.009844005107879639,False,O1-g ≈ O3-g（差异在 ±5% 内）
18,DOE-ProxyApps-C_RSBench,0.9811388254165649,v2,0.9924812316894531,v2,-0.011342406272888184,True,O1-g ≈ O3-g（差异在 ±5% 内）
19,DOE-ProxyApps-C_SimpleMOC,0.9215744733810425,v2,0.78125,v2,0.14032447338104248,True,O3-g 优于 O1-g（快 7.8%，加速比 1.09x）
20,DOE-ProxyApps-C_XSBench,0.9931499361991882,v2,0.9333333373069763,v2,0.059816598892211914,True,O1-g ≈ O3-g（差异在 ±5% 内）
21,DOE-ProxyApps-C_miniAMR,0.9958702921867371,v2,0.9137930870056152,v2,0.08207720518112183,True,O1-g ≈ O3-g（差异在 ±5% 内）
22,DOE-ProxyApps-C_miniGMG,0.9866840839385986,v2,0.9047619104385376,v2,0.08192217350006104,True,O1-g ≈ O3-g（差异在 ±5% 内）
23,Fhourstones,0.9695426821708679,v2,0.9454545378684998,v2,0.024088144302368164,True,O1-g ≈ O3-g（差异在 ±5% 内）
24,Fhourstones-3.1,1.0230084657669067,v1,1.0,v1,0.02300846576690674,True,O1-g ≈ O3-g（差异在 ±5% 内）
25,FreeBench_analyzer,0.9984949827194214,v2,0.9750311970710754,v2,0.023463785648345947,True,O1-g ≈ O3-g（差异在 ±5% 内）
26,FreeBench_distray,0.9890606999397278,v2,0.9387755393981934,v2,0.050285160541534424,True,O1-g ≈ O3-g（差异在 ±5% 内）
27,FreeBench_fourinarow,0.769675076007843,v2,1.2857142686843872,v1,-0.5160391926765442,False,O3-g 优于 O1-g（快 23.0%，加速比 1.30x）
28,FreeBench_mason,0.9859410524368286,v2,1.081712007522583,v1,-0.0957709550857544,False,O1-g ≈ O3-g（差异在 ±5% 内）
29,FreeBench_neural,0.9615797996520996,v2,1.0026881694793701,v1,-0.04110836982727051,False,O1-g ≈ O3-g（差异在 ±5% 内）
30,FreeBench_pcompress2,0.9955695867538452,v2,0.9608433842658997,v2,0.03472620248794556,True,O1-g ≈ O3-g（差异在 ±5% 内）
31,FreeBench_pifft,1.0010144710540771,v1,0.9230769276618958,v2,0.0779375433921814,False,O1-g ≈ O3-g（差异在 ±5% 内）
32,MallocBench_cfrac,1.00298273563385,v1,0.9811320900917053,v2,0.021850645542144775,False,O1-g ≈ O3-g（差异在 ±5% 内）
33,MallocBench_espresso,0.9881940484046936,v2,0.9739130139350891,v2,0.014281034469604492,True,O1-g ≈ O3-g（差异在 ±5% 内）
34,MallocBench_gs,1.0033445358276367,v1,1.1540676355361938,v1,-0.15072309970855713,True,O1-g ≈ O3-g（差异在 ±5% 内）
35,McCat_01-qbsort,1.000590205192566,v1,1.0324574708938599,v1,-0.031867265701293945,True,O1-g ≈ O3-g（差异在 ±5% 内）
36,McCat_03-testtrie,0.9946016073226929,v2,0.9913793206214905,v2,0.0032222867012023926,True,O1-g ≈ O3-g（差异在 ±5% 内）
37,McCat_04-bisect,0.9828409552574158,v2,0.915869951248169,v2,0.06697100400924683,True,O1-g ≈ O3-g（差异在 ±5% 内）
38,McCat_08-main,1.006239414215088,v1,1.01509428024292,v1,-0.008854866027832031,True,O1-g ≈ O3-g（差异在 ±5% 内）
39,McCat_09-vor,0.9935328960418701,v2,0.9894737005233765,v2,0.004059195518493652,True,O1-g ≈ O3-g（差异在 ±5% 内）
40,McCat_12-IOtest,0.9922704696655273,v2,1.0068026781082153,v1,-0.014532208442687988,False,O1-g ≈ O3-g（差异在 ±5% 内）
41,McCat_15-trie,1.0064316987991333,v1,1.0027447938919067,v1,0.0036869049072265625,True,O1-g ≈ O3-g（差异在 ±5% 内）
42,McCat_17-bintr,0.9975898265838623,v2,1.0,v1,-0.0024101734161376953,False,O1-g ≈ O3-g（差异在 ±5% 内）
43,McCat_18-imp,1.0050933361053467,v1,0.9877095222473145,v2,0.017383813858032227,False,O1-g ≈ O3-g（差异在 ±5% 内）
44,MiBench_automotive-basicmath,1.0093557834625244,v1,1.0,v1,0.009355783462524414,True,O1-g ≈ O3-g（差异在 ±5% 内）
45,MiBench_automotive-bitcount,0.9804021716117859,v2,0.9595015645027161,v2,0.020900607109069824,True,O1-g ≈ O3-g（差异在 ±5% 内）
46,MiBench_automotive-susan,0.9913285970687866,v2,0.995555579662323,v2,-0.004226982593536377,True,O1-g ≈ O3-g（差异在 ±5% 内）
47,MiBench_consumer-jpeg,0.9936646223068237,v2,0.8711234331130981,v2,0.12254118919372559,True,O1-g ≈ O3-g（差异在 ±5% 内）
48,MiBench_consumer-lame,0.9662320017814636,v2,0.8993902206420898,v2,0.06684178113937378,True,O1-g ≈ O3-g（差异在 ±5% 内）
49,MiBench_consumer-typeset,1.014733076095581,v1,0.9915858507156372,v2,0.023147225379943848,False,O1-g ≈ O3-g（差异在 ±5% 内）
50,MiBench_network-dijkstra,0.9906532764434814,v2,1.0008217096328735,v1,-0.01016843318939209,False,O1-g ≈ O3-g（差异在 ±5% 内）
51,MiBench_network-patricia,1.0058666467666626,v1,1.0,v1,0.005866646766662598,True,O1-g ≈ O3-g（差异在 ±5% 内）
52,MiBench_office-ispell,1.0163267850875854,v1,1.0108790397644043,v1,0.005447745323181152,True,O1-g ≈ O3-g（差异在 ±5% 内）
