index,program,pred_y_hat,pred_side,true_y,true_side,error,direction_correct,verdict
1,7zip,0.9988762736320496,v2,1.0,v1,-0.0011237263679504395,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
2,ASCI_Purple_SMG2000,1.0133856534957886,v1,1.0,v1,0.013385653495788574,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
3,ASC_Sequoia_AMGmk,0.9955041408538818,v2,1.0,v1,-0.004495859146118164,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
4,ASC_Sequoia_CrystalMk,1.0056580305099487,v1,1.0,v1,0.0056580305099487305,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
5,ASC_Sequoia_IRSmk,0.997104823589325,v2,1.0,v1,-0.002895176410675049,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
6,BitBench_drop3,0.9409679770469666,v2,1.0493826866149902,v1,-0.10841470956802368,False,O2-bolt-opt 优于 O2-bolt（快 5.9%，加速比 1.06x）
7,BitBench_five11,1.006014108657837,v1,0.949999988079071,v2,0.05601412057876587,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
8,BitBench_uudecode,0.9859706163406372,v2,0.9985875487327576,v2,-0.012616932392120361,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
9,BitBench_uuencode,1.010277509689331,v1,0.9997146725654602,v2,0.01056283712387085,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
10,Bullet,0.9802984595298767,v2,1.0,v1,-0.01970154047012329,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
11,DOE-ProxyApps-C++_CLAMR,0.8771116137504578,v2,1.0,v1,-0.12288838624954224,False,O2-bolt-opt 优于 O2-bolt（快 12.3%，加速比 1.14x）
12,DOE-ProxyApps-C++_HACCKernels,0.9872648119926453,v2,1.0,v1,-0.012735188007354736,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
13,DOE-ProxyApps-C++_HPCCG,0.967261791229248,v2,1.0,v1,-0.03273820877075195,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
14,DOE-ProxyApps-C++_PENNANT,0.9978192448616028,v2,1.0,v1,-0.002180755138397217,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
15,DOE-ProxyApps-C++_miniFE,1.0081170797348022,v1,1.0,v1,0.008117079734802246,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
16,DOE-ProxyApps-C_CoMD,0.950239896774292,v2,0.9599999785423279,v2,-0.009760081768035889,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
17,DOE-ProxyApps-C_Pathfinder,1.0320619344711304,v1,1.0666667222976685,v1,-0.034604787826538086,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
18,DOE-ProxyApps-C_RSBench,0.9974169135093689,v2,0.9851852059364319,v2,0.012231707572937012,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
19,DOE-ProxyApps-C_SimpleMOC,1.0084385871887207,v1,1.0,v1,0.008438587188720703,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
20,DOE-ProxyApps-C_XSBench,0.9773000478744507,v2,0.9375,v2,0.039800047874450684,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
21,DOE-ProxyApps-C_miniAMR,0.980860710144043,v2,1.0,v1,-0.01913928985595703,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
22,DOE-ProxyApps-C_miniGMG,0.9255711436271667,v2,0.9841269850730896,v2,-0.05855584144592285,True,O2-bolt-opt 优于 O2-bolt（快 7.4%，加速比 1.08x）
23,Fhourstones,1.0033979415893555,v1,0.9811320900917053,v2,0.022265851497650146,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
24,Fhourstones-3.1,1.021913766860962,v1,1.085714340209961,v1,-0.06380057334899902,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
25,FreeBench_analyzer,1.0001271963119507,v1,1.0205655097961426,v1,-0.020438313484191895,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
26,FreeBench_distray,0.9891307950019836,v2,0.9948453903198242,v2,-0.005714595317840576,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
27,FreeBench_fourinarow,1.003983497619629,v1,1.0,v1,0.003983497619628906,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
28,FreeBench_mason,0.9812518954277039,v2,0.9847908616065979,v2,-0.003538966178894043,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
29,FreeBench_neural,1.0039387941360474,v1,1.02173912525177,v1,-0.017800331115722656,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
30,FreeBench_pcompress2,1.004271388053894,v1,1.0335365533828735,v1,-0.029265165328979492,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
31,FreeBench_pifft,1.0060083866119385,v1,1.00180184841156,v1,0.004206538200378418,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
32,MallocBench_cfrac,0.9946402311325073,v2,1.0,v1,-0.005359768867492676,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
33,MallocBench_espresso,1.0048140287399292,v1,1.0,v1,0.004814028739929199,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
34,MallocBench_gs,0.992459774017334,v2,0.9545762538909912,v2,0.03788352012634277,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
