index,program,pred_y_hat,pred_side,true_y,true_side,error,direction_correct,verdict
1,7zip,0.9868649840354919,v2,1.0,v1,-0.013135015964508057,False,O1-g ≈ O3-g（差异在 ±5% 内）
2,ASCI_Purple_SMG2000,0.9166275262832642,v2,0.875,v2,0.04162752628326416,True,O3-g 优于 O1-g（快 8.3%，加速比 1.09x）
3,ASC_Sequoia_AMGmk,0.6731730699539185,v2,0.6666666865348816,v2,0.006506383419036865,True,O3-g 优于 O1-g（快 32.7%，加速比 1.49x）
4,ASC_Sequoia_CrystalMk,0.9651987552642822,v2,0.9285714030265808,v2,0.036627352237701416,True,O1-g ≈ O3-g（差异在 ±5% 内）
5,ASC_Sequoia_IRSmk,0.7178137898445129,v2,0.6666666865348816,v2,0.05114710330963135,True,O3-g 优于 O1-g（快 28.2%，加速比 1.39x）
6,BitBench_drop3,1.013871669769287,v1,0.9941176176071167,v2,0.01975405216217041,False,O1-g ≈ O3-g（差异在 ±5% 内）
7,BitBench_five11,1.0774482488632202,v1,1.0526316165924072,v1,0.02481663227081299,True,O1-g 优于 O3-g（快 7.2%，加速比 1.08x）
8,BitBench_uudecode,0.29987895488739014,v2,0.2874704599380493,v2,0.01240849494934082,True,O3-g 优于 O1-g（快 70.0%，加速比 3.33x）
9,BitBench_uuencode,0.9510349035263062,v2,0.9551020264625549,v2,-0.004067122936248779,True,O1-g ≈ O3-g（差异在 ±5% 内）
10,Bullet,0.9433407187461853,v2,0.9090909361839294,v2,0.03424978256225586,True,O3-g 优于 O1-g（快 5.7%，加速比 1.06x）
11,DOE-ProxyApps-C++_CLAMR,1.052520990371704,v1,1.0322580337524414,v1,0.020262956619262695,True,O1-g 优于 O3-g（快 5.0%，加速比 1.05x）
12,DOE-ProxyApps-C++_HACCKernels,0.9669433236122131,v2,0.9523809552192688,v2,0.014562368392944336,True,O1-g ≈ O3-g（差异在 ±5% 内）
13,DOE-ProxyApps-C++_HPCCG,1.0069801807403564,v1,1.0,v1,0.006980180740356445,True,O1-g ≈ O3-g（差异在 ±5% 内）
14,DOE-ProxyApps-C++_PENNANT,0.9174729585647583,v2,0.8928571343421936,v2,0.024615824222564697,True,O3-g 优于 O1-g（快 8.3%，加速比 1.09x）
15,DOE-ProxyApps-C++_miniFE,0.9271957874298096,v2,0.9166666865348816,v2,0.010529100894927979,True,O3-g 优于 O1-g（快 7.3%，加速比 1.08x）
16,DOE-ProxyApps-C_CoMD,0.9331049919128418,v2,0.95652174949646,v2,-0.023416757583618164,True,O3-g 优于 O1-g（快 6.7%，加速比 1.07x）
17,DOE-ProxyApps-C_Pathfinder,1.0046271085739136,v1,1.0,v1,0.004627108573913574,True,O1-g ≈ O3-g（差异在 ±5% 内）
18,DOE-ProxyApps-C_RSBench,1.0042369365692139,v1,0.9924812316894531,v2,0.011755704879760742,False,O1-g ≈ O3-g（差异在 ±5% 内）
19,DOE-ProxyApps-C_SimpleMOC,0.816155731678009,v2,0.78125,v2,0.03490573167800903,True,O3-g 优于 O1-g（快 18.4%，加速比 1.23x）
20,DOE-ProxyApps-C_XSBench,0.9515089392662048,v2,0.9333333373069763,v2,0.018175601959228516,True,O1-g ≈ O3-g（差异在 ±5% 内）
21,DOE-ProxyApps-C_miniAMR,0.9425971508026123,v2,0.9137930870056152,v2,0.02880406379699707,True,O3-g 优于 O1-g（快 5.7%，加速比 1.06x）
22,DOE-ProxyApps-C_miniGMG,0.9391757249832153,v2,0.9047619104385376,v2,0.034413814544677734,True,O3-g 优于 O1-g（快 6.1%，加速比 1.06x）
23,Fhourstones,0.9790109992027283,v2,0.9454545378684998,v2,0.033556461334228516,True,O1-g ≈ O3-g（差异在 ±5% 内）
24,Fhourstones-3.1,1.0216089487075806,v1,1.0,v1,0.021608948707580566,True,O1-g ≈ O3-g（差异在 ±5% 内）
25,FreeBench_analyzer,1.000267744064331,v1,0.9750311970710754,v2,0.025236546993255615,False,O1-g ≈ O3-g（差异在 ±5% 内）
26,FreeBench_distray,0.951519250869751,v2,0.9387755393981934,v2,0.012743711471557617,True,O1-g ≈ O3-g（差异在 ±5% 内）
27,FreeBench_fourinarow,1.201788306236267,v1,1.2857142686843872,v1,-0.08392596244812012,True,O1-g 优于 O3-g（快 16.8%，加速比 1.20x）
28,FreeBench_mason,1.0832246541976929,v1,1.081712007522583,v1,0.0015126466751098633,True,O1-g 优于 O3-g（快 7.7%，加速比 1.08x）
29,FreeBench_neural,0.9965392351150513,v2,1.0026881694793701,v1,-0.006148934364318848,False,O1-g ≈ O3-g（差异在 ±5% 内）
30,FreeBench_pcompress2,0.999530553817749,v2,0.9608433842658997,v2,0.038687169551849365,True,O1-g ≈ O3-g（差异在 ±5% 内）
31,FreeBench_pifft,0.950917661190033,v2,0.9230769276618958,v2,0.027840733528137207,True,O1-g ≈ O3-g（差异在 ±5% 内）
32,MallocBench_cfrac,1.0009287595748901,v1,0.9811320900917053,v2,0.019796669483184814,False,O1-g ≈ O3-g（差异在 ±5% 内）
33,MallocBench_espresso,0.99531489610672,v2,0.9739130139350891,v2,0.02140188217163086,True,O1-g ≈ O3-g（差异在 ±5% 内）
34,MallocBench_gs,1.1068438291549683,v1,1.1540676355361938,v1,-0.047223806381225586,True,O1-g 优于 O3-g（快 9.7%，加速比 1.11x）
35,McCat_01-qbsort,1.0558730363845825,v1,1.0324574708938599,v1,0.023415565490722656,True,O1-g 优于 O3-g（快 5.3%，加速比 1.06x）
36,McCat_03-testtrie,0.996867835521698,v2,0.9913793206214905,v2,0.0054885149002075195,True,O1-g ≈ O3-g（差异在 ±5% 内）
37,McCat_04-bisect,0.9355930685997009,v2,0.915869951248169,v2,0.019723117351531982,True,O3-g 优于 O1-g（快 6.4%，加速比 1.07x）
38,McCat_08-main,1.0404126644134521,v1,1.01509428024292,v1,0.025318384170532227,True,O1-g ≈ O3-g（差异在 ±5% 内）
39,McCat_09-vor,1.0128986835479736,v1,0.9894737005233765,v2,0.023424983024597168,False,O1-g ≈ O3-g（差异在 ±5% 内）
40,McCat_12-IOtest,1.0200109481811523,v1,1.0068026781082153,v1,0.013208270072937012,True,O1-g ≈ O3-g（差异在 ±5% 内）
41,McCat_15-trie,0.9959328770637512,v2,1.0027447938919067,v1,-0.006811916828155518,False,O1-g ≈ O3-g（差异在 ±5% 内）
42,McCat_17-bintr,1.0150498151779175,v1,1.0,v1,0.01504981517791748,True,O1-g ≈ O3-g（差异在 ±5% 内）
43,McCat_18-imp,0.9838616251945496,v2,0.9877095222473145,v2,-0.0038478970527648926,True,O1-g ≈ O3-g（差异在 ±5% 内）
44,MiBench_automotive-basicmath,1.0055533647537231,v1,1.0,v1,0.0055533647537231445,True,O1-g ≈ O3-g（差异在 ±5% 内）
45,MiBench_automotive-bitcount,0.9768522381782532,v2,0.9595015645027161,v2,0.01735067367553711,True,O1-g ≈ O3-g（差异在 ±5% 内）
46,MiBench_automotive-susan,1.0019516944885254,v1,0.995555579662323,v2,0.006396114826202393,False,O1-g ≈ O3-g（差异在 ±5% 内）
