index,program,pred_y_hat,pred_side,true_y,true_side,error,direction_correct,verdict
1,7zip,1.0126233100891113,v1,1.0521469116210938,v1,-0.03952360153198242,True,O1-g ≈ O3-g（差异在 ±5% 内）
2,ASCI_Purple_SMG2000,1.067258596420288,v1,1.519140601158142,v1,-0.451882004737854,True,O1-g 优于 O3-g（快 6.3%，加速比 1.07x）
3,ASC_Sequoia_AMGmk,0.852748453617096,v2,0.8473796844482422,v2,0.00536876916885376,True,O3-g 优于 O1-g（快 14.7%，加速比 1.17x）
4,ASC_Sequoia_CrystalMk,1.034339427947998,v1,1.0123991966247559,v1,0.021940231323242188,True,O1-g ≈ O3-g（差异在 ±5% 内）
5,ASC_Sequoia_IRSmk,0.997558057308197,v2,0.9519637227058411,v2,0.04559433460235596,True,O1-g ≈ O3-g（差异在 ±5% 内）
6,BitBench_drop3,0.999777615070343,v2,0.9976329803466797,v2,0.00214463472366333,True,O1-g ≈ O3-g（差异在 ±5% 内）
7,BitBench_five11,0.999301552772522,v2,1.0122944116592407,v1,-0.01299285888671875,False,O1-g ≈ O3-g（差异在 ±5% 内）
8,BitBench_uudecode,0.9554470777511597,v2,1.0296684503555298,v1,-0.07422137260437012,False,O1-g ≈ O3-g（差异在 ±5% 内）
9,BitBench_uuencode,1.029530644416809,v1,1.0583512783050537,v1,-0.02882063388824463,True,O1-g ≈ O3-g（差异在 ±5% 内）
10,Bullet,1.001551628112793,v1,0.981875479221344,v2,0.019676148891448975,False,O1-g ≈ O3-g（差异在 ±5% 内）
11,DOE-ProxyApps-C++_CLAMR,1.0009334087371826,v1,0.9870559573173523,v2,0.013877451419830322,False,O1-g ≈ O3-g（差异在 ±5% 内）
12,DOE-ProxyApps-C++_HACCKernels,1.3278878927230835,v1,1.139594554901123,v1,0.18829333782196045,True,O1-g 优于 O3-g（快 24.7%，加速比 1.33x）
13,DOE-ProxyApps-C++_HPCCG,1.4121867418289185,v1,1.2799439430236816,v1,0.13224279880523682,True,O1-g 优于 O3-g（快 29.2%，加速比 1.41x）
14,DOE-ProxyApps-C++_PENNANT,1.002399206161499,v1,1.0095800161361694,v1,-0.00718080997467041,True,O1-g ≈ O3-g（差异在 ±5% 内）
15,DOE-ProxyApps-C++_miniFE,1.200917363166809,v1,1.2087024450302124,v1,-0.00778508186340332,True,O1-g 优于 O3-g（快 16.7%，加速比 1.20x）
16,DOE-ProxyApps-C_CoMD,1.25111722946167,v1,1.2388993501663208,v1,0.012217879295349121,True,O1-g 优于 O3-g（快 20.1%，加速比 1.25x）
17,DOE-ProxyApps-C_Pathfinder,1.0010346174240112,v1,0.9798654913902283,v2,0.02116912603378296,False,O1-g ≈ O3-g（差异在 ±5% 内）
18,DOE-ProxyApps-C_RSBench,1.014822244644165,v1,1.0098227262496948,v1,0.004999518394470215,True,O1-g ≈ O3-g（差异在 ±5% 内）
19,DOE-ProxyApps-C_SimpleMOC,0.9985929727554321,v2,0.9275828003883362,v2,0.07101017236709595,True,O1-g ≈ O3-g（差异在 ±5% 内）
20,DOE-ProxyApps-C_XSBench,0.9999676942825317,v2,0.992978036403656,v2,0.006989657878875732,True,O1-g ≈ O3-g（差异在 ±5% 内）
21,DOE-ProxyApps-C_miniAMR,0.9997872114181519,v2,1.0033413171768188,v1,-0.003554105758666992,False,O1-g ≈ O3-g（差异在 ±5% 内）
22,DOE-ProxyApps-C_miniGMG,0.9983192682266235,v2,1.099320888519287,v1,-0.10100162029266357,False,O1-g ≈ O3-g（差异在 ±5% 内）
23,Fhourstones,0.9941172003746033,v2,0.987088680267334,v2,0.007028520107269287,True,O1-g ≈ O3-g（差异在 ±5% 内）
24,Fhourstones-3.1,1.0010443925857544,v1,1.0033137798309326,v1,-0.0022693872451782227,True,O1-g ≈ O3-g（差异在 ±5% 内）
25,FreeBench_analyzer,0.999017059803009,v2,0.9505268335342407,v2,0.04849022626876831,True,O1-g ≈ O3-g（差异在 ±5% 内）
26,FreeBench_distray,1.0052624940872192,v1,1.0458996295928955,v1,-0.04063713550567627,True,O1-g ≈ O3-g（差异在 ±5% 内）
27,FreeBench_fourinarow,1.185910701751709,v1,2.2264785766601562,v1,-1.0405678749084473,True,O1-g 优于 O3-g（快 15.7%，加速比 1.19x）
28,FreeBench_mason,1.0013951063156128,v1,1.0238537788391113,v1,-0.022458672523498535,True,O1-g ≈ O3-g（差异在 ±5% 内）
29,FreeBench_neural,1.3959357738494873,v1,1.3306522369384766,v1,0.06528353691101074,True,O1-g 优于 O3-g（快 28.4%，加速比 1.40x）
30,FreeBench_pcompress2,1.0007243156433105,v1,0.9630005359649658,v2,0.03772377967834473,False,O1-g ≈ O3-g（差异在 ±5% 内）
31,FreeBench_pifft,1.000619888305664,v1,1.1219837665557861,v1,-0.12136387825012207,True,O1-g ≈ O3-g（差异在 ±5% 内）
32,MallocBench_cfrac,0.9991061687469482,v2,1.006701946258545,v1,-0.00759577751159668,False,O1-g ≈ O3-g（差异在 ±5% 内）
33,MallocBench_espresso,1.000207543373108,v1,0.9652436971664429,v2,0.03496384620666504,False,O1-g ≈ O3-g（差异在 ±5% 内）
34,MallocBench_gs,0.9990003108978271,v2,0.9653955101966858,v2,0.03360480070114136,True,O1-g ≈ O3-g（差异在 ±5% 内）
35,McCat_01-qbsort,0.9992218613624573,v2,1.0364705324172974,v1,-0.03724867105484009,False,O1-g ≈ O3-g（差异在 ±5% 内）
36,McCat_03-testtrie,0.999240517616272,v2,0.9903775453567505,v2,0.008862972259521484,True,O1-g ≈ O3-g（差异在 ±5% 内）
37,McCat_04-bisect,0.999672532081604,v2,0.9161551594734192,v2,0.08351737260818481,True,O1-g ≈ O3-g（差异在 ±5% 内）
38,McCat_05-eks,1.0007598400115967,v1,0.9865186810493469,v2,0.014241158962249756,False,O1-g ≈ O3-g（差异在 ±5% 内）
39,McCat_08-main,1.0001084804534912,v1,1.1068333387374878,v1,-0.10672485828399658,True,O1-g ≈ O3-g（差异在 ±5% 内）
40,McCat_09-vor,1.0008130073547363,v1,1.0285067558288574,v1,-0.027693748474121094,True,O1-g ≈ O3-g（差异在 ±5% 内）
41,McCat_12-IOtest,0.9990129470825195,v2,1.011228084564209,v1,-0.012215137481689453,False,O1-g ≈ O3-g（差异在 ±5% 内）
42,McCat_15-trie,1.0012212991714478,v1,1.037859559059143,v1,-0.03663825988769531,True,O1-g ≈ O3-g（差异在 ±5% 内）
43,McCat_17-bintr,1.0003156661987305,v1,1.198105812072754,v1,-0.19779014587402344,True,O1-g ≈ O3-g（差异在 ±5% 内）
44,McCat_18-imp,0.9991540312767029,v2,1.0042297840118408,v1,-0.0050757527351379395,False,O1-g ≈ O3-g（差异在 ±5% 内）
45,MiBench_automotive-basicmath,0.9996364116668701,v2,1.000988245010376,v1,-0.0013518333435058594,False,O1-g ≈ O3-g（差异在 ±5% 内）
