index,program,pred_y_hat,pred_side,true_y,true_side,error,direction_correct,verdict
1,7zip,1.00387704372406,v1,0.991906464099884,v2,0.011970579624176025,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
2,ASCI_Purple_SMG2000,1.0012109279632568,v1,0.9949919581413269,v2,0.006218969821929932,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
3,ASC_Sequoia_AMGmk,1.001817226409912,v1,1.0176262855529785,v1,-0.015809059143066406,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
4,ASC_Sequoia_CrystalMk,1.0031120777130127,v1,1.0015472173690796,v1,0.0015648603439331055,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
5,ASC_Sequoia_IRSmk,1.0006264448165894,v1,0.9964287877082825,v2,0.004197657108306885,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
6,BitBench_drop3,1.000179648399353,v1,1.047105073928833,v1,-0.04692542552947998,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
7,BitBench_five11,0.9991645216941833,v2,0.9881972670555115,v2,0.010967254638671875,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
8,BitBench_uudecode,1.000665545463562,v1,1.002718448638916,v1,-0.002052903175354004,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
9,BitBench_uuencode,1.001010775566101,v1,1.0067517757415771,v1,-0.005741000175476074,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
10,Bullet,0.9983232617378235,v2,1.009485125541687,v1,-0.011161863803863525,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
11,DOE-ProxyApps-C++_CLAMR,1.0236026048660278,v1,1.0060523748397827,v1,0.017550230026245117,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
12,DOE-ProxyApps-C++_HACCKernels,1.0008199214935303,v1,0.9978772401809692,v2,0.002942681312561035,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
13,DOE-ProxyApps-C++_HPCCG,1.0004128217697144,v1,1.0022199153900146,v1,-0.001807093620300293,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
14,DOE-ProxyApps-C++_PENNANT,1.0012009143829346,v1,1.0046743154525757,v1,-0.0034734010696411133,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
15,DOE-ProxyApps-C++_miniFE,1.0004901885986328,v1,0.9928250908851624,v2,0.007665097713470459,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
16,DOE-ProxyApps-C_CoMD,0.995151698589325,v2,0.9706236720085144,v2,0.024528026580810547,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
17,DOE-ProxyApps-C_Pathfinder,1.030604362487793,v1,1.045069694519043,v1,-0.01446533203125,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
18,DOE-ProxyApps-C_RSBench,0.9954798817634583,v2,1.0018819570541382,v1,-0.006402075290679932,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
19,DOE-ProxyApps-C_SimpleMOC,1.001834511756897,v1,1.024247646331787,v1,-0.022413134574890137,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
20,DOE-ProxyApps-C_XSBench,1.0001461505889893,v1,0.9858988523483276,v2,0.014247298240661621,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
21,DOE-ProxyApps-C_miniAMR,0.9975841045379639,v2,1.0072332620620728,v1,-0.009649157524108887,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
22,DOE-ProxyApps-C_miniGMG,0.9696840047836304,v2,0.9929110407829285,v2,-0.023227035999298096,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
23,Fhourstones,1.005613923072815,v1,0.9980741739273071,v2,0.0075397491455078125,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
24,Fhourstones-3.1,1.0383648872375488,v1,1.0808826684951782,v1,-0.042517781257629395,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
25,FreeBench_analyzer,0.9995781183242798,v2,1.0211166143417358,v1,-0.021538496017456055,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
26,FreeBench_distray,1.0019853115081787,v1,1.0033948421478271,v1,-0.0014095306396484375,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
27,FreeBench_fourinarow,0.9993917346000671,v2,1.0089813470840454,v1,-0.009589612483978271,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
28,FreeBench_mason,1.0000858306884766,v1,0.9845949411392212,v2,0.015490889549255371,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
29,FreeBench_neural,0.9679682850837708,v2,1.0025076866149902,v1,-0.03453940153121948,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
30,FreeBench_pcompress2,1.004127860069275,v1,1.0555272102355957,v1,-0.0513993501663208,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
31,FreeBench_pifft,0.9999463558197021,v2,1.0020859241485596,v1,-0.002139568328857422,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
32,MallocBench_cfrac,0.9993255138397217,v2,1.0155168771743774,v1,-0.01619136333465576,False,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
33,MallocBench_espresso,1.0029003620147705,v1,1.0256145000457764,v1,-0.02271413803100586,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
34,MallocBench_gs,0.9997766017913818,v2,0.9847953915596008,v2,0.014981210231781006,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
35,McCat_01-qbsort,0.9996405839920044,v2,0.9768466949462891,v2,0.022793889045715332,True,O2-bolt ≈ O2-bolt-opt（差异在 ±5% 内）
